Visit #,Ship,Ship Type,Move Type,Move Status,Move Start,From Location,To Location,Agency,Last Port,Next Port
20231150,MERCURY ACE,VEHICLES CARRIER,Arrival,Planned,9/9/23 3:00,SEA,No. 12 NQ,Gulf Agency Company (Australia) Pty/Ltd,Singapore,Adelaide
20231056,CIMBRIA,CONTAINER SHIP,Departure,Planned,9/9/23 6:00,Container Terminal 2,SEA,Inchcape Shipping Services,Melbourne,Port Klang
20231185,LEO SUNRISE,TANKER - LIQUEFIED GAS,Arrival,Planned,9/9/23 6:01,SEA,Outer Bunker Ground,Monson Agencies Australia.,Dampier,Singapore
20231159,SIERRA NEVADA HIGHWAY,VEHICLES CARRIER,Departure,Planned,9/9/23 15:00,H Berth,SEA,Monson Agencies Australia.,Melbourne,Laem Chabang
20231150,MERCURY ACE,VEHICLES CARRIER,Departure,Planned,9/9/23 16:00,No. 12 NQ,SEA,Gulf Agency Company (Australia) Pty/Ltd,Singapore,Adelaide
20230904,STOKER,OTHER  VESSELS,Removal,Planned,9/9/23 17:30,"Moresby 5,7,8",Outside Port Limits,Teekay Shipping (Australia) Pty Ltd,Fremantle,Fremantle
20231155,MAPLE AMBITION,BULK CARRIER,Arrival,Planned,9/9/23 22:00,SEA,No. 12 NQ,Wilhelmsen Ships Service,Dampier,To Be Advised
20231146,MALAYSIA BRAVE,VEHICLES CARRIER,Departure,Planned,9/10/23 8:00,H Berth,SEA,Inchcape Shipping Services,Pyeongtaek,Darwin
20231133,ABSOLUTE,TANKER,Departure,Planned,9/10/23 8:00,No. 2 NQ,SEA,ASP Ship Management Pty Ltd,Fremantle,Fremantle
20231187,STI BERYL,TANKER,Arrival,Planned,9/10/23 9:45,SEA,No. 1 O.R.J.,Inchcape Shipping Services,Singapore,Singapore
20231117,ECO MARINA DEL REY,TANKER,Departure,Planned,9/10/23 13:00,No. 4 Kwin Bulk Berth,SEA,Ben Line Agencies,Singapore,Singapore
20231163,MAERSK SEBAROK,CONTAINER SHIP,Arrival,Planned,9/10/23 14:45,SEA,Container Terminal 3,Inchcape Shipping Services,Adelaide,Port Klang
20231155,MAPLE AMBITION,BULK CARRIER,Departure,Planned,9/10/23 22:00,No. 12 NQ,SEA,Wilhelmsen Ships Service,Dampier,To Be Advised
20231180,HSL CHICAGO,BULK CARRIER,Arrival,Planned,9/11/23 2:00,SEA,Oil Refinery North Anchorage,Monson Agencies Australia.,Singapore,Subic Bay
20231148,MSC CORDELIA III,CONTAINER SHIP,Arrival,Planned,9/11/23 4:00,SEA,Outer Anchorages (1-7),Gulf Agency Company (Australia) Pty/Ltd,Jakarta,Adelaide
20231179,OOCL CHICAGO,CONTAINER SHIP,Arrival,Planned,9/11/23 4:45,SEA,Container Terminal 4,Inchcape Shipping Services,Adelaide,Singapore
20231193,WINTER SEA,BULK CARRIER,Removal,Planned,9/11/23 6:01,Gage Roads,No. 1 Alcoa,Monson Agencies Australia.,Cilacap,Mina Khalifa (Abu Dhabi)
20231185,LEO SUNRISE,TANKER - LIQUEFIED GAS,Removal,Planned,9/11/23 6:46,Outer Bunker Ground,No. 3 Kwin Bulk Berth,Monson Agencies Australia.,Dampier,Singapore
20231177,CH CLARE,BULK CARRIER,Departure,Planned,9/11/23 7:00,No. 1 Alcoa,SEA,Monson Agencies Australia.,Songkhla,Sitra
20231166,MAERSK GAIRLOCH,CONTAINER SHIP,Departure,Planned,9/11/23 7:00,Container Terminal 4,SEA,Inchcape Shipping Services,Singapore,Adelaide
20230990,CHARLEY 2,YACHT,Removal,Planned,9/11/23 8:01,AUSTAL/OCEANFAST Services pier northern side,Cockburn Sound Trials Area,International Maritime Services,Fremantle,Fremantle
20231089,JAYA,OTHER  VESSELS,Departure,Planned,9/11/23 10:00,AUSTAL/OCEANFAST Services pier southern side,SEA,CMC Marine,Yampi Sound,Fremantle
20230308,PERSEVERANCE V,TANKER - LIQUEFIED GAS,Arrival,Planned,9/11/23 11:45,SEA,Oil Refinery North Anchorage,Indian Ocean Shipping Agencies,Port Bonython,To Be Advised
20230990,CHARLEY 2,YACHT,Removal,Planned,9/11/23 15:01,Cockburn Sound Trials Area,AUSTAL/OCEANFAST Services pier northern side,International Maritime Services,Fremantle,Fremantle
20231176,DELOS WAVE,CONTAINER SHIP,Arrival,Planned,9/11/23 19:00,SEA,Container Terminal 2,Inchcape Shipping Services,Melbourne,Port Klang
20231148,MSC CORDELIA III,CONTAINER SHIP,Removal,Planned,9/12/23 3:45,Outer Anchorages (1-7),Container Terminal 4,Gulf Agency Company (Australia) Pty/Ltd,Jakarta,Adelaide
20231171,GRACE C,BULK CARRIER,Arrival,Planned,9/12/23 5:01,SEA,Gage Roads,Monson Agencies Australia.,Bunbury,Port Klang
20230572,HELLFIRE BAY,TUG,Departure,Planned,9/12/23 12:00,BAE North Wet Berth,SEA,Indian Ocean Shipping Agencies,Esperance,Esperance
20231163,MAERSK SEBAROK,CONTAINER SHIP,Departure,Planned,9/12/23 15:00,Container Terminal 3,SEA,Inchcape Shipping Services,Adelaide,Port Klang
20231179,OOCL CHICAGO,CONTAINER SHIP,Departure,Planned,9/12/23 16:00,Container Terminal 4,SEA,Inchcape Shipping Services,Adelaide,Singapore
20231176,DELOS WAVE,CONTAINER SHIP,Departure,Planned,9/12/23 22:00,Container Terminal 2,SEA,Inchcape Shipping Services,Melbourne,Port Klang
20231175,BBC EMSLAND,GENERAL CARGO,Arrival,Planned,9/12/23 22:00,SEA,No. 11 NQ,Indian Ocean Shipping Agencies,Mackay,Singapore
20230296,NEMRUT BAY,BULK CARRIER,Departure,Planned,9/12/23 22:00,No. 2 Kwin Bulk Berth,SEA,Quay Marine Agencies P/L,Indonesia - other,WA Ports - other
20231187,STI BERYL,TANKER,Departure,Planned,9/12/23 23:01,No. 1 O.R.J.,SEA,Inchcape Shipping Services,Singapore,Singapore
20231185,LEO SUNRISE,TANKER - LIQUEFIED GAS,Departure,Planned,9/12/23 23:59,No. 3 Kwin Bulk Berth,SEA,Monson Agencies Australia.,Dampier,Singapore
20231169,FRONT CHEETAH,TANKER,Removal,Planned,9/13/23 6:00,Oil Refinery Anchorage,No. 3 O.R.J.,Inchcape Shipping Services,India - Other,Singapore
20231148,MSC CORDELIA III,CONTAINER SHIP,Departure,Planned,9/13/23 7:00,Container Terminal 4,SEA,Gulf Agency Company (Australia) Pty/Ltd,Jakarta,Adelaide
20231178,APL VANCOUVER,CONTAINER SHIP,Arrival,Planned,9/13/23 11:45,SEA,Container Terminal 2,Inchcape Shipping Services,Adelaide,Singapore
20231193,WINTER SEA,BULK CARRIER,Departure,Planned,9/13/23 15:01,No. 1 Alcoa,SEA,Monson Agencies Australia.,Cilacap,Mina Khalifa (Abu Dhabi)
20231171,GRACE C,BULK CARRIER,Removal,Planned,9/13/23 15:01,Gage Roads,No. 1 Alcoa,Monson Agencies Australia.,Bunbury,Port Klang
20231175,BBC EMSLAND,GENERAL CARGO,Departure,Planned,9/13/23 18:00,No. 11 NQ,SEA,Indian Ocean Shipping Agencies,Mackay,Singapore
20231116,ASC LOTTI,GENERAL CARGO,Arrival,Planned,9/13/23 23:01,SEA,No. 11 NQ,Asiaworld Shipping Services,Batam,Cocos Island
20231182,DALIAN,CONTAINER SHIP,Arrival,Planned,9/14/23 4:30,SEA,Container Terminal 4,Gulf Agency Company (Australia) Pty/Ltd,Singapore,Tanjung Pelapas
20231025,PROGRESS C,CONTAINER SHIP,Arrival,Planned,9/14/23 8:30,SEA,Container Terminal 1,Gulf Agency Company (Australia) Pty/Ltd,Singapore,Singapore
20230308,PERSEVERANCE V,TANKER - LIQUEFIED GAS,Removal,Planned,9/14/23 12:01,Oil Refinery North Anchorage,No. 2 Kwin Bulk Berth,Indian Ocean Shipping Agencies,Port Bonython,To Be Advised
